,show/id,show/canonical_name,show/clips_count,show/description,show/episodes_count,show/feature_films_count,show/genre,show/genres,show/is_movie,show/is_showtime_only,show/rating,show/series_id,show/company/name,Classics_Classics,Drama_Drama,Drama~Crime and Courtroom Drama_Drama~Crime and Courtroom Drama,Drama~Medical Drama_Drama~Medical Drama,Drama~Mystery_Drama~Mystery,Drama~Police Drama_Drama~Police Drama,Drama~Romance_Drama~Romance,Drama~Soap Operas_Drama~Soap Operas,Family_Family,Health and Wellness_Health and Wellness,Horror and Suspense_Horror and Suspense,International~Japanese_International~Japanese,Kids_Kids,Latino_Latino,Lifestyle~Fashion and Beauty_Lifestyle~Fashion and Beauty,Music_Music,Music~Musicals_Music~Musicals,News and Information~Talk and Interview_News and Information~Talk and Interview,Science Fiction_Science Fiction,Science Fiction~Science Fiction - Thriller_Science Fiction~Science Fiction - Thriller,Teen_Teen,Videogames_Videogames,Animation,Anime,Action,Comedy,Food,Reality
0,54,family-guy,288,The adventures of an endearingly ignorant dad and his hilariously odd family of middle-class New Englanders.,288,0,Animation and Cartoons,Animation and Cartoons~Primetime Animation|Teen|Comedy~Sitcoms,False,False,4.35370739,11730,FOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,6979,south-park,3874,"Underpants-stealing gnomes, a talking Christmas poo, metrosexual Crab People…Every episode of this critically-acclaimed and award-winning show is packed with unforgettable adventures, cutting satire, and hilarious absurdity – from pissed off celebrities to talking towels to crime-fighting kids. So join Kyle, Stan, Kenny and Cartman for the all the dysfunction and all the excitement. For them, it's just a part of growing up in South Park!",274,0,Comedy,Comedy|Animation and Cartoons~Primetime Animation,False,False,4.36303207,50003814,Comedy Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,53,american-dad,121,This screwball family full of radically different personalities is just trying to figure out how to love and trust one another in a bi-partisan world.,172,0,Comedy,Comedy~Sitcoms|Animation and Cartoons~Primetime Animation,False,False,4.114006824,379,Fox Television Classics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,389,law-and-order-special-victims-unit,176,"This hard-hitting and emotional series from NBC's ""Law & Order"" brand chronicles the life and crimes of the Special Victims Unit of the New York City Police Department, an elite squad of detectives who investigate sexually based crimes. ",406,0,Drama,Drama~Crime and Courtroom Drama|Drama~Mystery,False,False,4.622855997,260,NBC,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1603,naruto-shippuden,16,"The Village Hidden in the Leaves is home to the stealthiest ninja in the land.  But twelve years earlier, a fearsome Nine-tailed Fox terrorized the village before it was subdued and its spirit sealed within the body of a baby boy.  Now that boy, Naruto, has grown up to become a hyperactive ninja-in-training who's more interested in pranks than schoolwork...but Naruto is determined to become the greatest ninja ever!",597,0,Anime,Anime~Anime - Action Adventure|Action and Adventure|International~Japanese,False,False,4.400626276000001,10960,Viz Media,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5,23104,seinfeld,63,"Emmy award-winning ""Seinfeld"" is one of the most popular shows on the air. Mining his rich comedic resources, Jerry Seinfeld provides a hysterical look at life as a single adult in the '90s. Along with a refreshing cast and top-notch writing, this series is quickly becoming a comedy classic.",171,0,Comedy,Comedy~Sitcoms,False,False,4.366506162,50020894,Sony Pictures Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,2553,modern-family,68,"Today's American families come in all shapes and sizes. The cookie cutter mold of man + wife + 2.5 kids is a thing of the past, as it becomes quickly apparent in the bird's eye view of ABC's half-hour comedy, which takes an honest and often hilarious look at the composition and complexity of modern family life.",22,0,Comedy,Comedy~Sitcoms|Teen|Family,False,False,4.6405570019999995,13628,ABC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7,22416,adventure-time,223,"It's one crazy adventure after another for human boy, Finn, and his best friend, Jake, a 28-year old dog with magical powers. They're out to have the most fun possible and they sure do find it exploring the Land of Ooo! Whether it's saving Princess Bubblegum, battling zombie candy, taunting the Ice King or rocking out with Marceline the Vampire Queen, with Finn and Jake it's always ADVENTURE TIME!",223,0,Kids,Kids|Animation and Cartoons|Teen,False,False,4.36580305,50020481,Cartoon Network,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8,77,saturday-night-live,7073,NBC in association with Broadway Video Enterprises bring you the landmark sketch comedy series.,370,0,Comedy,Comedy~Sketch Comedy|Comedy~Late Night Comedy,False,False,4.083795347,8765,NBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
9,11248,the-mindy-project,23,"A single-camera comedy, starring Mindy Kaling, that follows a skilled OB/GYN navigating the tricky waters of both her personal and professional life, as she pursues her dreams of becoming the perfect woman, finding the perfect man and getting her perfect romantic comedy ending.",107,0,Comedy,Comedy~Sitcoms,False,False,4.440965244,50007572,Hulu Original Series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
