,id,title,language_code,description,similar_books,ratings_count,num_pages,text_reviews_count,average_rating,Action,Adventure,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Thriller,War,Action_b,Adventure_b,Crime_b,Documentary_b,Drama_b,Family_b,Fantasy_b,History_b,Horror_b,Music_b,Mystery_b,Romance_b,Thriller_b,War_b
901,16137127,Certainty and the Search for Absolute Truth,eng,"Wait! Before you fly into that building...
What is truth? Is it knowable?
Can we be absolutely certain about anything?
A momentous work of philosophy doesn't have to be massive and unreadable. No example of philosophy that you'll encounter will deal with Certainty and Truth more concisely and compellingly than this book, yet it does so while maintaining an engaging style that keeps the cerebral content very readable and accessible. Like previous philosophies that address Certainty and Truth, the work HAD to address the issue of God, yet unlike it's predecessors, manages to do so without any hidden assumptions. As a result, it holds confirmations of orthodox Christianity that are unprecedented.
The book adopts a partially autobiographical style as it details how the hyper-rational author went from the purest form of agnosticism to fundamentalist Christianity over a span of years. Within are essays that address common misconceptions that skeptics and Christians share. There is also a miraculous quality to the account that speaks to the heart.
The fact that the author is a recent stroke victim, cognitively impaired and partially paralyzed, makes it more apparent that he cannot take credit for any cleverness reflected in this book. There are things on a par with Einstein's ""On The Photoelectric Effect"" or ""On Brownian Motion"" Since the author admits to having the barest of math abilities, it's fortunate that the issues in this work do not require the same mathematical rigor to express as Einstein's remarkable understandings. Nevertheless, the assertion of novelty and momentousness for this work is appropriate. There are intellectually satisfying answers to questions that people have grappled with for centuries. Questions like:
To what extent is anything knowable?
How can Jesus be the Son of God and God Himself?
How can a loving God send anyone to Hell?
What is Heaven and why will it be replaced?",[],1.0,162.0,1.0,1.0,0.10802636091067205,1.0,0.08689331125642112,0.09902597863114965,0.09849976387350814,0.09240726082626552,1.0,0.08813067960428737,1.0,0.07220978117517415,0.10348167091203565,0.08537625604492607,1.0,0.06847770612348969,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6925,14740987,A State of Symmetry,eng,"Novel first published in South Africa in 1996, set in South Africa during the time of apartheid and dealing with issues such as obsession, oppression, desire and enactment. An Afrikaner magistrate is on trial for the murder of a young white woman and a Zulu gardener. He pleads guilty, but his motives and methods are a mystery.",[],2.0,380.0,2.0,1.0,0.12095331693267364,0.12404913299507438,1.0,0.08266697742163655,0.12971567842993717,0.09232086151398376,0.11214910839831965,0.09460972365662691,1.0,0.0754848933729485,1.0,0.11812875889775085,1.0,0.08287846785298991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9852,25601065,For the Record: The United Fruit Company's Sixty-Six Years in Guatemala,eng,"An account of the United Fruit Company's arrival in Guatemala, operations, and legacy - as told by a woman born in a United Fruit hospital to parents who came to Guatemala to work in the United Fruit Company's banana industry.",[],1.0,295.0,1.0,1.0,0.027514806171543088,0.02902076376568144,0.027148352635904382,1.0,1.0,0.03019779797643412,0.027629974655040117,0.034392388464310746,0.033267811023305977,0.024807759278871484,1.0,1.0,0.03661143986376241,0.024102474063249574,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11909,16032100,"Scars (The Arbiter, #4)",eng,"Red works as a hit man. It's all he knows. His skills are unmatched, but the work leaves him unsatisfied. As he begins to question the merits of what he does, he's contacted by a wealthy benefactor. With each job the benefactor sends his way, Red learns more about his purpose in life. As his new employer shapes him into the Arbiter, he learns what it means to be a judge of humanity. His goal is justice, but for the Arbiter, justice isn't blind.
Part 4:
Tristan knows his wife's secret. After receiving the report from a private detective, he knows his wife is having an affair. Thanks to the help of his connections, he finds a way to handle the situation. The plan is in place. All he needs now is to find the right moment to strike. If he can't have her, no one can.",[],1.0,14.0,1.0,1.0,1.0,0.12830628271322822,1.0,0.09622173060344409,0.14126279113903384,0.11304082742363267,0.122282194824566,0.10013062211007628,0.12185296895345242,0.09183034044673616,1.0,0.12854892019088893,1.0,0.07588156492835231,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
12403,22526011,Soaring Hearts: A Novel of the '20s,eng,"""In the heart of the city that has no heart, that's where they meet and that's where they part."" So a song faintly heard over the waters of Mobjack Bay in Virginia by a young boy is prophetic of his future life. A member of the first generation of American airmen in World War I, he barely escapes death first on the football field and then in the air over the Western Front. After the war he moves north to Boston, Mass. and to success in the fast moving business world of the 1920's. But he is trapped in a hasty marriage with a coldly indifferent wife and must battle a grasping father-in-law with whom his business dealings are entwined. At the heart of this novel is story of how he is saved by the daughter of a captain from the fabled fleet of Gloucester schooners, and in the shadow of 1929 and the Great Depression begins a new life with her.",[],1.0,190.0,1.0,1.0,0.27465036357177597,1.0,0.21758609826938358,0.2593244863494017,1.0,0.25243785500798777,0.270525352917674,1.0,0.19829441786169102,0.21523739988638793,0.22057202664736394,0.2681835869022682,0.24692615157069697,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15673,18484965,Wait! That's the Wrong Hole! An Erotic First Anal Sex Short,en-US,"Ron is afraid the fire is out with his girlfriend Mandy, but he's willing to do anything to get her back. So, the sky's the limit, and they end up at the best hotel in town with an incredible suite and fantastic room service. The best is yet to cum, though, and soon they're enjoying each other's bodies. When a moment of passion gets him moving so fast that he ends up accidentally giving Mandy her very first anal sex experience, is her at risk of losing everything he worked for?
Warning: This ebook contains very explicit descriptions of sexual activity including oral sex, anal sex, and spanking. It is intended for mature readers who will not be offended by graphic representations of sex acts between consenting adults.",[],3.0,7.0,1.0,1.33,0.06443836393936594,0.05858747761682191,0.06733908708718023,0.06722529667327004,1.0,0.06262608429303486,0.0643906482609569,0.0572326716945161,1.0,0.06016328860866776,0.0722797810048503,1.0,1.0,0.041434699277611835,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
16188,18512518,The Legal Status of Transsexual and Transgender Persons,eng,"The need to allow a change of legal sex/gender in certain cases is no longer disputed in most jurisdictions, and for European countries there is no question as to whether such a change should be allowed after the decision of the European Court of Human Rights in Goodwin v. United Kingdom (Application no. 28957/95). The question has therefore shifted to what the requirements for such a change of the legal sex/gender should be. Many jurisdictions have legislated or developed an administrative approach to changing sex/gender, but the requirements differ significantly from jurisdiction to jurisdiction, particularly with regard to age, nationality and marital status, as well as the medical and psychological requirements. The latter in some jurisdictions still include surgery and sterility as a precondition, thus potentially forcing the persons concerned to choose between the recognition of their sex/gender identity and their physical integrity. This book examines questions that are thus far under-researched, namely what the full legal consequences of a change of legal sex/gender should be, for example with regard to existing legal relationships such as marriages and registered partnerships, but also concerning children and parentage. The Legal Status of Transsexual and Transgender Persons is the result of an international research project, including not only national reports from 14 European and non-European jurisdictions but also two chapters that look at legal sex/gender changes from a Christian perspective and one chapter from a medical-psychological perspective. The final comparative chapter compares and contrasts the different approaches and requirements and makes recommendations for best practice and law reform.",[],1.0,678.0,1.0,1.0,0.06375609572390051,0.06006896282321674,0.060557502519514514,1.0,1.0,0.05498777489921375,0.06078627010338355,0.05590518989901352,0.0661320171851014,0.049971268041045944,0.06048325016454796,1.0,1.0,0.04200784832099871,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
18605,16002811,"Unexpected  Changes (Unexpected Changes, #1)",eng,"Marissa had her whole life planned and was on track to success. She was accepted to the college she had always wanted to attend, things were perfect.That is until one day she hurt herself and became hooked on pills. She had never thought that one day she would become addicted to drugs, but she was. Before she knew it her whole life had unexpectedly changed.",[],1.0,203.0,1.0,1.0,0.152381710157054,0.1461650739286379,0.15929611507331407,0.16784876832332812,1.0,0.16069438273886247,1.0,0.14238917981436766,0.14484690942764208,0.1446956100047187,0.14380770633324336,1.0,1.0,0.09630230441755028,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24980,35175209,Ms. Marvel #1,eng,"Ms. Marvel is back on top! When a Brood invasion threatens Earth, Ms. Marvel teams up with Captain America and Jessica Jones to kick the alien invaders back into space!",[],1.0,23.0,1.0,1.0,1.0,1.0,0.00990031642020084,0.025912617572635948,0.014033707834269682,0.025940488509617478,1.0,0.02063002463342953,1.0,0.01510531922231795,0.01393378515832884,0.0084952569777621,0.01957616556637393,0.02055195034465737,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27079,1812218,Clone Zone,eng,"""Wanted. A Blonde One, Funny One, Hard One, Cute One and Other One for top toy band ...""
Meet the members of new boy band, Stud-U-Like. Five guys, one manager and one fan - so far! How will they become superstars?",[],4.0,72.0,3.0,1.25,1.0,0.2076836407805779,0.20482602258713328,0.19003837445972716,1.0,0.19967403693019029,1.0,0.1615896707507412,0.20944913471918575,0.21014226384188844,0.19560290701891986,0.19256051439236893,1.0,0.13077009975701614,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
