,id,title,language_code,description,similar_books,ratings_count,num_pages,text_reviews_count,average_rating,Action,Adventure,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,War,Action_b,Adventure_b,Crime_b,Documentary_b,Drama_b,Family_b,Fantasy_b,History_b,Horror_b,Music_b,Mystery_b,Romance_b,War_b
10,16037548,Untold Secrets: Fire & Ice,eng,"Arrianna Williams is an ordinary 25 yr. old woman or so she thinks. She has stumbled across a very special book and she soon sees just how special this book really is or at least she thinks she knows. The book comes to life and Arrianna is no longer reading the pages but is in the story herself.
Shortly after reading the book she runs into an old childhood friend Damian. She quickly falls for him but it doesn?t last long. Hurt; she finds comfort in another man. Thinking her life is completely normal, she soon finds out she has a special gift that puts her life in danger. An Archangel named Gabriel comes to her rescue but in turn things only get worse.
She is now being hunted for her gift and the man she sought comfort with is in desperate need of her to save his life. Meanwhile her feelings for Gabriel grow stronger as she wonders if he could be her true love.
Could this Angel ever love her the way she loves him? Will she defeat the fallen angel and demons after her? So many secrets so many lies and so much heartache will happen during her journey to discovering who she really is and what she was meant to do.",[],0.0,168.0,1.0,0.0,0.19485437339768638,0.1998646449481414,0.18699711804279665,0.17089551587993454,1.0,1.0,1.0,0.17784900776319557,0.18200589806859968,0.1664277816970352,0.18943620790803498,1.0,0.1364835924707308,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2004,22858532,Shadow Within a City,eng,"It's a gritty, dystopian world consumed with 'Big-Brother' technology in an urban metropolis best described as the new Hell's Kitchen. Its an illusion of freedom in a city plagued with political unrest, government cover-ups, and an unimaginable crime rate. Fortunately, the city has a new hero, or anti-hero, ShadowKill. Granted with supernatural abilities after involuntarily becoming the subject of a genetic experiment, ShadowKill begins a merciless quest to incinerate the criminal element of the city. As a solid, shadowy entity, ShadowKill's quest takes it's dominance, and leaves his presence felt, until he encounters something unexpected -- BloodOath.",[],0.0,258.0,1.0,0.0,1.0,1.0,1.0,0.11265094630105686,0.120327832174784,0.13134660290900857,1.0,0.09850361005883354,0.11344705386016142,0.08660522401536064,0.10192643171559397,0.10537405342517824,0.06690862154062524,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5210,7213492,Osteoporosis,eng,"Osteoporosis affects an estimated 3 million people in the UK. The condition causes the bones to become more fragile and therefore more prone to fractures, along with pain, a loss of movement, and an inability to perform daily tasks. One in two women and one in five men in the UK will suffer a fracture after the age of 50. Aimed at patients and carers, this book covers topics such as who is affected, what the risk factors are, and how patients can prevent or lessen the efefcts. The book looks forward to advances in diagnosis and treatment and how they have improved health outcomes of patients. Written by a leading osteoporosis specialist and Scientific Advisory Committee Member of the National Osteoporosis Society, this addition to the Facts series is a comprehensive guide to understanding and coping with this debilitating disease.",[],0.0,90.0,1.0,0.0,0.09559677642381906,0.08648914363646776,0.09136682667164728,1.0,1.0,0.07255082278170967,0.09006444180873244,0.08478191820236512,1.0,0.0727763015103785,1.0,0.09633691050650535,0.06750549451395722,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6252,31307439,The Enchanted Peacock,eng,This is the original book published in 1911 by Rand McNally &Co.,[],0.0,136.0,1.0,0.0,0.00772627368188541,1.0,0.005582354025556419,0.01013108460336194,0.006982973089275507,1.0,1.0,0.009181818836460045,0.00823530599758632,1.0,0.0067871148000934215,0.008652397308126942,0.005842175758830061,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9171,17731479,Jinnah and His Times,eng,"A biography on the Life of Muhammad Ali Jinnah, the founder of the Islamic Republic of Pakistan. He later came to be known as Quaid-e-Azam ( great leader).",[],0.0,949.0,1.0,0.0,0.05639833121207601,0.06062923687149213,0.05269119628106173,1.0,1.0,0.06046643441009798,0.05886349275089015,1.0,0.0389399689210857,0.05741030311106981,0.04234519093596382,1.0,0.049720063211941355,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9729,23444056,Boundless,eng,"Every hope, every dream that glittered on the girls' horizon counted on one thing -- getting out.
Best friends Idella and Minnie are mired in Chickadee, a tiny dot in southern Alabama seeped in piety and rural poverty, believed to be cursed with an ancient witch, and caught in the 75 miserable years between the Civil War and the beginning of World War II.
Unsettled things are attracted to unsettled times. After sneaking out to meet boys at a speakeasy one night, both girls are offered a deal with the devil. How far will they go to keep their vow to get out of Chickadee? Consequences from their decisions that night shape them into unrecognizable creatures and spin the girls into a wild world where secrets may destroy them both.","['22625113', '24580427', '24383028', '23498110', '24499816', '24277479', '24325780', '23485113', '24375957', '24322868', '17792524', '23633784', '10813715', '21528957']",0.0,460.0,1.0,0.0,0.1762306765011862,0.18662356896201024,0.13978494166071745,0.13960878289835557,1.0,1.0,1.0,0.17162223220005243,0.17703096824589304,0.14346891997279781,0.1550571108884064,0.18492010728185376,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10359,21417536,"Untitled (Thirteen Hallows, #2)",eng,"Second book on the trilogy Thirteen Hallows. According to the German edition book comes out in 2015. German translated description:
""Not even death can stop the killing!
Vyvienne died in the battle for thirteen sanctuaries, and their spirit is doomed to wander forever restless. As you make the demons Queen Lilith a tempting offer. You will Vyvienne help to return to a body of flesh and blood, if these are all relatives of the guardian kills in return - and the demon hordes thus enables the return to the human world. Meanwhile, believe Owen and Sarah, the danger was averted. But they are still haunted by terrible dreams full of violence and blood - and then the first dream to reality is cruel...""",[],0.0,384.0,3.0,0.0,1.0,1.0,0.06703657307350384,0.06707603449031273,0.07881673656875665,0.08231648543105605,1.0,0.0874829012794839,1.0,0.05506245760718968,0.08178123921553125,0.0634544698220904,0.09133026004910533,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
12415,23252073,Shark in the Water - Book # 1 of the Cold War Chronicles,eng,"It's October 1945 in the SF Bay Area. World War 2 is over. The American service men who fought in the Pacific theater are coming home. Doctor James T. Palmer, an esteemed physicist who worked on the Manhattan Project, the government project that developed the atomic bomb that was dropped on Hiroshima Japan two months earlier, mysteriously disappears.",[],0.0,384.0,1.0,0.0,1.0,1.0,0.08393651730066724,0.11119922561227659,0.11002052554081551,0.07307582995450798,0.09073630624452833,1.0,0.07962231892141097,0.06826645406003808,0.07715420365098012,0.08565180077584339,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
14697,26161899,Behind Prison Walls,eng,"Behind Prison Walls A True Story of Innocence and Betrayal. By Ann Novick. What started out as a glorious vacation in Paris ended as a terrifying nightmare.. When newlyweds Miriam and Daniel didn't return home from France as scheduled, Miriam's mother, Ann, knew something terrible must have happened.. The young couple had already boarded the plane home when officers removed them from their seats and returned them to the airport, assuring them, ""This is just routine."" Opening a suitcase that a trusted ""friend"" had begged them to take, they were horrified to discover a cache of contraband drugs. Although they desperately tried to explain their innocence, they were immediately arrested and prevented from contacting anyone.. Miriam, who was expecting her first child, was thrown into a rigid and foreign prison, while Daniel was incarcerated in a different facility on the other side of town, both barred from contacting family, lawyers, or each other.. It was a living nightmare, the kind you never want to face; the kind you can't wake up from. After days of anguish and worry, Ann rushed to Paris to negotiate the French legal system and offer support to her daughter and son-in-law, shuttling back and forth between the two prisons in her attempts to encourage and uplift the frightened young couple.. Behind Prison Walls is the true story of Miriam's harrowing experience, seen through her daily letters to her family. As she sits alone in her prison cell, she chronicles her struggles to obtain kosher food, keep her terror at bay, and daven fervently for release before her baby is born. Miriam's compassion for others and firm emunah fortify her throughout her ordeal, but her mother, reading between the lines, interprets the terror behind her seemingly mundane musings.. Now being told for the first time after years of silence, Behind Prison Walls is the riveting account of one family's agonizing trial. It's the story of hope over despair.",[],0.0,264.0,1.0,0.0,0.16004817315397088,0.14237901499939792,1.0,0.1286532742507316,1.0,1.0,0.144686617691587,0.1649220296768681,0.161238409010589,0.11964437839230371,0.1534852073759635,1.0,0.12338080554229938,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22125,33376497,"Tales From Fire to Frost: A Collection of Threats of Sky and Sea Stories (Threats of Sky and Sea, #4)",eng,"A collection of Threats of Sky and Sea stories containing:
Sisters of Wind and Flame
Once, Lady Katerine was simply Ekaterina. Once, she was not a countess, but a girl who cleaned fireplaces. And once, she had a sister...
Breathe In
Every winter, the snow glitters like a pretty lie. The winter palace swarms with visiting nobles. And, Lady Corrine fights not to lose her breath.
Because whether he means to or not, Duke Ardin steals it away.
Defining Justice
One of Prince Caden's earliest explanations of justice came from his father. With an Elemental's life on the line, Caden learns to define it for himself.",[],0.0,137.0,1.0,0.0,0.10302523248258919,0.10774771878524596,0.09054685145103245,0.09327442529905107,1.0,0.11274903193448017,1.0,1.0,0.08770149238293914,0.0895604239513374,0.08751647860990755,1.0,0.08219409160428119,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
